Country,Year,Count
Greece,1989,201000
Greece,1990,201000
Greece,1991,205000
Greece,1992,208000
Greece,1993,213000
Greece,1994,206000
Greece,1995,201800
Greece,1996,198800
Greece,1997,166300
Greece,1998,172500
Greece,1999,169600
Greece,2000,163200
Greece,2001,163200
Greece,2002,181600
Greece,2003,181600
Greece,2004,167000
Greece,2005,168000
Greece,2006,161000
Greece,2007,161000
Greece,2008,161000
Greece,2009,142936
Greece,2010,149647
Greece,2011,148350
Greece,2012,147350
Greece,2013,148950
Greece,2014,146950
Greece,2015,146950
Greece,2016,145350
Greece,2017,146000
Greece,2018,147850
Greece,2019,147000
Turkey,1989,780000
Turkey,1990,769000
Turkey,1991,804000
Turkey,1992,704000
Turkey,1993,686000
Turkey,1994,811000
Turkey,1995,690000
Turkey,1996,707200
Turkey,1997,821200
Turkey,1998,821200
Turkey,1999,841200
Turkey,2000,827700
Turkey,2001,665100
Turkey,2002,664800
Turkey,2003,664800
Turkey,2004,616000
Turkey,2005,617000
Turkey,2006,612000
Turkey,2007,612000
Turkey,2008,613000
Turkey,2009,612800
Turkey,2010,612800
Turkey,2011,612800
Turkey,2012,612800
Turkey,2013,612800
Turkey,2014,612800
Turkey,2015,512000
Turkey,2016,512000
Turkey,2017,512000
Turkey,2018,512200
Turkey,2019,512000
